"PERMNO","date","ticker","PRC"
10107,20070103,"MSFT",29.86
10107,20070104,"MSFT",29.81
10107,20070105,"MSFT",29.64
10107,20070108,"MSFT",29.93
10107,20070109,"MSFT",29.96
10107,20070110,"MSFT",29.66
10107,20070111,"MSFT",30.7
10107,20070112,"MSFT",31.21
10107,20070116,"MSFT",31.16
10107,20070117,"MSFT",31.1
10107,20070118,"MSFT",31
10107,20070119,"MSFT",31.11
10107,20070122,"MSFT",30.72
10107,20070123,"MSFT",30.74
10107,20070124,"MSFT",31.09
10107,20070125,"MSFT",30.45
10107,20070126,"MSFT",30.6
10107,20070129,"MSFT",30.53
10107,20070130,"MSFT",30.48
10107,20070131,"MSFT",30.86
10107,20070201,"MSFT",30.56
10107,20070202,"MSFT",30.19
10107,20070205,"MSFT",29.61
10107,20070206,"MSFT",29.51
10107,20070207,"MSFT",29.37
10107,20070208,"MSFT",29.26
10107,20070209,"MSFT",28.98
10107,20070212,"MSFT",28.94
10107,20070213,"MSFT",29.03
10107,20070214,"MSFT",29.4
10107,20070215,"MSFT",29.46
10107,20070216,"MSFT",28.74
10107,20070220,"MSFT",28.83
10107,20070221,"MSFT",29.35
10107,20070222,"MSFT",29.39
10107,20070223,"MSFT",28.9
10107,20070226,"MSFT",29.07
10107,20070227,"MSFT",27.87
10107,20070228,"MSFT",28.17
10107,20070301,"MSFT",28.09
10107,20070302,"MSFT",27.76
10107,20070305,"MSFT",27.5499
10107,20070306,"MSFT",27.83
10107,20070307,"MSFT",27.61
10107,20070308,"MSFT",27.32
10107,20070309,"MSFT",27.29
10107,20070312,"MSFT",27.44
10107,20070313,"MSFT",26.72
10107,20070314,"MSFT",27.4
10107,20070315,"MSFT",27.28
10107,20070316,"MSFT",27.33
10107,20070319,"MSFT",27.83
10107,20070320,"MSFT",27.84
10107,20070321,"MSFT",28.52
10107,20070322,"MSFT",28.27
10107,20070323,"MSFT",28.02
10107,20070326,"MSFT",28.22
10107,20070327,"MSFT",27.72
